QKEY,DEVICE_TYPE_W49,LANG_W49,FORM_W49,SOCMEDIAUSEa_W49,SOCMEDIAUSEb_W49,SOCMEDIAUSEc_W49,SOCMEDIAUSEd_W49,SNSUSER_W49,ELECTFTGSNSINT_W49,TALKDISASNSINT_W49,TALKCMNSNSINT_W49,SECUR1_W49,PRIVACYNEWS1_W49,HOMEASSIST1_W49,HOMEASSIST2_W49,HOMEASSIST3_W49,HOMEASSIST4_W49,HOMEASSIST5a_W49,HOMEASSIST5b_W49,HOMEIOT_W49,FITTRACK_W49,LOYALTY_W49,DNATEST_W49,TRACKCNT_W49,TRACKCO1a_W49,TRACKCO1b_W49,CONCERNCO_W49,BENEFITCO_W49,CONTROLCO_W49,UNDERSTANDCO_W49,POSNEGCO_W49,ANONYMOUS1CO_W49,TRACKGOV1a_W49,TRACKGOV1b_W49,CONCERNGOV_W49,BENEFITGOV_W49,CONTROLGOV_W49,UNDERSTANDGOV_W49,POSNEGGOV_W49,ANONYMOUS1GOV_W49,CONCERNGRPa_W49,CONCERNGRPb_W49,CONCERNGRPc_W49,CONCERNGRPd_W49,CONCERNGRPe_W49,CONCERNGRPf_W49,CONTROLGRPa_W49,CONTROLGRPb_W49,CONTROLGRPc_W49,CONTROLGRPd_W49,CONTROLGRPe_W49,CONTROLGRPf_W49,PP1_W49,PP2_W49,PP3_W49,PP4_W49,PP5a_W49,PP5b_W49,PP5c_W49,PP5d_W49,PP5e_W49,PP6a_W49,PP6b_W49,PP6c_W49,PRIVACYREG_W49,GOVREGV1_W49,GOVREGV2_W49,SHARE1_W49,KNOW1_W49,KNOW2_W49,KNOW3_W49,KNOW4_W49,KNOW5_W49,KNOW6_W49,KNOW7_W49,KNOW8_W49,KNOW9_W49,KNOW10_W49,TOTALKNOW_W49,PWMAN_W49,PWMAN2_W49,SMARTPHONE_W49,SMARTAPP_W49,PUBLICDATA_W49,RTBFa_W49,RTBFb_W49,RTBFc_W49,RTBFd_W49,RTDa_W49,RTDb_W49,RTDc_W49,RTDd_W49,PROFILE1_W49,PROFILE2_W49,PROFILE3_W49,PROFILE4_W49,PROFILE5_W49,DATAUSEa_W49,DATAUSEb_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49,DATAUSEf_W49,FACE1_W49,FACE2a_W49,FACE2b_W49,FACE2c_W49,FACE3a_W49,FACE3b_W49,FACE3c_W49,FACE4a_W49,FACE4b_W49,FACE4c_W49,FACE4d_W49,DB1a_W49,DB1b_W49,DB1c_W49,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,WEIGHT_W49
100260,2,9,2,2,2,2,2,0, , , ,3,4,2, , , , , ,2,2,2,2,0, , , , , , , , ,5,5,3,3,4,4,2,1, , , ,3,3, , , , ,1,2,2,4,4, , ,2,2,2,2,2,2,2,2,3, ,1,2,5,5,5,5,5,5,5,5,5,5,1,2,1,1,2,2, , , , ,2,1,1,1,3, , , , , , , ,2,2,2,3, , , , , , , , , , ,2,2,2,1,4,4,1,1,5,2,1,1,1,1,6,12, ,5,1, ,1,6,2,1,1,1,2,.3087562489
100588,1,9,1,1,1,1,2,1,2,2, ,2,3,2, , , , , ,2,1,1,2,2,3,5,2,3,2,3,2,1, , , , , , , , ,3,1,2, , , ,1,2,2, , , ,2,3,3,3,3,2,2,2,2,3,3,3,3,1, ,1,4,2,1,4,1,3,5,1,5,2,4,2,4,1,2,2,2,2,2,1, , , , ,2,5,4, , ,2,2,1, , , ,3, , , , , , , , , , ,1,2,2,1,4,2,2,2,4,1,5,3,1,1,1,2,2,4,2, ,2,6,2,1,3,1,2,.4179270943
100637,3,9,1,1,2,2,2,1,2,2, ,2,3,1,4,3,2,2, ,2,2,1,2,2,3,4,3,3,3,3,2,1, , , , , , , , ,3,3,3, , , ,3,3,3, , , ,4,3,1,2,4,3,4,4,4,4,4,4,3,1, ,1,1,2,2,4,5,3,1,5,2,1,5,1, ,1,1,2,2,1,1,1, , , , ,1,2,1,2,3,1,1,1, , , ,2,3,3,2,4,4,2,1,1, , ,1,2,2,1,3,3,2,2,4,2,1,1,1,1,1,1,1,3,3,1,1,5,2,1,1,1,2,.5904630049
101224,1,9,2,1,2,2,2,1,2, ,2,2,4,2, , , , , ,2,2,1,1,2, , , , , , , , ,1,1,4,4,4,3,2,2, , , ,3,2,1, , , ,3,3,2,4,1,1,3,3,2,3,3,4,3,4,4,3, ,2,2,5,5,5,5,7,5,5,5,6,5,0,2,3,1,3,2, , , , ,1,1,1,1,3, , , , , , , ,2,2,2,2,3,2,2,4,3,3, , ,3,3,2,2,2,1,3,4,1,3,2,2,1,1,1,1,1,1,1,1,1, ,1,5,2,1,2,1,1,.3938665346
101322,1,9,1,1,2,2,2,1,2,2, ,2,4,2, , , , , ,2,2,1,2,1,1,1,1,4,4,4,2,2, , , , , , , , ,1,1,3, , , ,3,3,3, , , ,3,4, , ,4,4,4,4,4,4,4,4,4,1, ,1,4,5,1,5,5,5,5,5,1,5,4,2,8,1,2,2,1,1,1,1, , , , ,2,1,1,3,4,2,2,2, , , ,1,1,1,1,4,4,4,2,2, , ,2,2,2,1,3,2,1,3,1,2,1,1,1,1,6,12, ,6,1, ,1,8,1,3,2,1,2,1.2362726961
101437,3,9,2,1,2,2,2,1,3, ,1,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,1,4,2,4,4,3,1,2, , , ,2,3,2, , , ,2,2,3,2,3,3,3,3,3,3,3,4,3,4,4,3, ,1,1,4,2,1,1,5,5,2,4,5,5,5,2,1,2, ,2, , , , ,2,1,1,1,2,2,2,3,2, , , ,3,3,1,1,2,2,2,3,3,1, , ,3,1,2,2,2,2,2,3,2,2,4,2,1,1,1,1,3,1,1,2,1, ,1,2,3,1,2,1,2,.5579541602
101472,1,9,1,1,2,1,2,1,2,2, ,3,2,2, , , , , ,2,1,1,2,2,2,4,2,3,3,3,2,2, , , , , , , , ,2,2,2, , , ,1,1,1, , , ,4,3,2,2,2,3,3,2,3,2,3,2,2,3, ,1,4,2,1,1,5,3,1,5,1,1,9,2,6,1,3,2,1,1,2,1, , , , ,2,2,2,2,2,3,2,3, , , ,2,2,2,3,3,3,2,1,1, , ,2,2,2,1,3,2,1,1,6,2,1,1,1,1,1,2,2,5,3,1,1,8,1,1,3,1,2,.3667297212
101493,3,9,1,1,2,2,1,1,2,2, ,2,1,1,1,1,1,1, ,1,2,2,2,2,1,1,1,2,4,4,2,2, , , , , , , , ,1,1, , , , ,2,2,2, , , ,1,4, , ,4,4,4,4,4,3,3,2,3,3, ,1,4,4,1,5,5,5,4,3,5,5,4,2,3,1,1,2,2,1,1,1, , , , ,1,1,2,2,3,2,1,2, , , ,1,1,1,1,4,4,4,1,2, , ,2,2,2,1,4,3,1,2,3,1,1,3,1,1,1,1,2,6,1, ,1,7,1,1,2,1,2,.3332674837
102198,1,9,1,1,1,2,1,1,2,2, ,2,3,2, , , , , ,2,2,1,2,1,1,3,2,3,3,2,2,2, , , , , , , , ,3,2,3, , , ,2,2,1, , , ,2,2,2,3,2,3,3,3,2,2,4,2,3,1, ,2,4,2,1,5,5,1,5,1,1,5,5,2,1,1,3,2,1,1,2,1, , , , ,2,3,1,2,3,2,2,2, , , ,2,1,2,1,3,2,1,1,2, , ,2,2,2,1,1,1,2,2,3,2,1,1,1,1,6,1,1,1,1, ,1,8,1,1,2,1,1,1.7970827181
103094,1,9,1,1,1,1,1,1,2,2, ,1,3,1,3,2,1,1, ,1,2,2,2,2,3,3,2,2,2,1,2,1, , , , , , , , ,2,2, , , , ,1,2,2, , , ,3,1,1,2,2,2,2,2,2,2,2,2,2,2, ,1,3,2,4,5,1,5,1,5,6,5,2,1, ,1,3,1,1,2,1,1, , , , ,2,3,2,2,2,1,2,1, , , ,2,2,2,2,4,4,4,3,2, , ,2,2,1,1,1,2,2,3,2,2,1,1,1,1,3,2,2,4,2, ,2,3,3,3,4,1,1,.312524999
